Rank,Player,basic_v4,team,pos,minutes,minutes_per_game
347,Isaiah Stewart,1.4890427160795396,DET,C,1317.0,22.7
348,Jonas Valančiūnas,1.4925334541206565,DEN,C,871.0,13.4
349,Adem Bona,1.494750687935044,PHI,C,1234.0,17.4
350,Jusuf Nurkić,1.495333305924714,UTA,C,1083.0,26.4
351,Goga Bitadze,1.4968147856334324,ORL,C,972.0,15.2
352,Nick Richards,1.497049882713193,2TM,C,701.0,14.6
353,Shai Gilgeous-Alexander,1.4971405887435436,OKC,PG,2259.0,33.2
354,Cole Anthony,1.5330959944061893,MIL,PG,527.0,15.1
355,Josh Giddey,1.5337710642873603,CHI,PG,1731.0,32.1
356,Jay Huff,1.5382179467262647,IND,C,1719.0,21.0
357,Andre Drummond,1.5397780819574247,PHI,C,1231.0,19.5
358,LaMelo Ball,1.5449871266543806,CHO,PG,2017.0,28.0
359,Steven Adams,1.5668143287193015,HOU,C,730.0,22.8
360,Lonzo Ball,1.57242751726718,CLE,PG,728.0,20.8
361,Day'Ron Sharpe,1.5950494408657567,BRK,C,1160.0,18.7
362,T.J. McConnell,1.6324648220148634,IND,PG,963.0,17.2
363,Cade Cunningham,1.6343046563859651,DET,PG,2172.0,33.9
364,Dru Smith,1.671975140444565,MIA,SG,1141.0,16.3
365,Donovan Clingan,1.70447199113607,POR,C,2094.0,27.2
366,Ryan Kalkbrenner,1.748873628236716,CHO,C,1479.0,21.4
367,Yves Missi,1.7509270260044199,NOP,C,1297.0,19.7
368,Clint Capela,1.752379371439292,HOU,C,926.0,12.3
369,Ja Morant,1.7549280180366678,MEM,PG,569.0,28.5
370,Paul Reed,1.7634550091185583,DET,C,901.0,13.9
371,Dylan Cardwell,1.7908238540403614,SAC,C,907.0,20.6
372,Luka Dončić,1.8476145769544647,LAL,PG,2289.0,35.8
373,Jericho Sims,1.8535832003660546,MIL,C,1318.0,19.7
374,Giannis Antetokounmpo,1.9343888022474462,MIL,PF,1039.0,28.9
375,Moussa Cisse,1.985878478938269,DAL,C,530.0,13.9
376,Robert Williams,2.092036275353986,POR,C,1008.0,17.1
377,Nikola Jokić,2.133651063594118,DEN,C,2265.0,34.8
378,Mitchell Robinson,2.173745189523177,NYK,C,1175.0,19.6
379,Victor Wembanyama,2.440229986768547,SAS,C,1866.0,29.2
