Rank,Player,basic_v2,team,pos,minutes,minutes_per_game,games
54,Al Horford,0.5101232311132017,GSW,C,969.0,21.5,45.0
55,Donte DiVincenzo,0.5104826273262185,MIN,SG,2494.0,30.4,82.0
56,Julian Strawther,0.5153604177823462,DEN,SG,861.0,15.1,57.0
57,Kobe Brown,0.5178881585661156,2TM,PF,963.0,15.8,61.0
58,Noah Clowney,0.5199748067090566,BRK,PF,1780.0,27.0,66.0
59,Kon Knueppel,0.5201298865642846,CHO,SF,2551.0,31.5,81.0
60,Egor Dëmin,0.5271487625340874,BRK,PG,1308.0,25.2,52.0
61,Corey Kispert,0.5296695887286096,2TM,SF,1080.0,18.6,58.0
62,Toumani Camara,0.5320508761411327,POR,PF,2731.0,33.3,82.0
63,Ace Bailey,0.532446288935725,UTA,SF,1988.0,27.6,72.0
64,Trey Murphy III,0.5351971316208017,NOP,SF,2341.0,35.5,66.0
65,Ayo Dosunmu,0.5361814198556288,2TM,SG,1881.0,27.3,69.0
66,Caleb Love,0.5381433009833263,POR,SG,1013.0,20.7,49.0
67,Bennedict Mathurin,0.5429294931005445,2TM,SF,1620.0,30.0,54.0
68,Josh Minott,0.5482222649536392,2TM,PF,834.0,17.0,49.0
69,Collin Murray-Boyles,0.5575878709682875,TOR,PF,1246.0,21.9,57.0
70,Ajay Mitchell,0.5600416348610447,OKC,SG,1473.0,25.8,57.0
71,Tre Johnson,0.5640223962720438,WAS,SG,1443.0,24.1,60.0
72,Ron Holland,0.5661512345319435,DET,SF,1551.0,19.9,78.0
73,Aaron Nesmith,0.5669997914511764,IND,SF,1335.0,29.7,45.0
74,Rob Dillingham,0.5707159635090071,2TM,PG,970.0,14.9,65.0
75,Cameron Johnson,0.5730938917881497,DEN,SF,1647.0,30.5,54.0
76,Jaime Jaquez Jr.,0.5752498834515861,MIA,SF,2121.0,28.3,75.0
77,Brook Lopez,0.5771138803576255,LAC,C,1635.0,21.8,75.0
78,Jared McCain,0.5775947770065517,2TM,SG,1160.0,17.3,67.0
79,Trendon Watford,0.5800655719305511,PHI,PF,864.0,16.3,53.0
80,Alex Caruso,0.5808882106752874,OKC,SG,1020.0,18.2,56.0
81,GG Jackson II,0.5858744157616522,MEM,PF,1178.0,21.4,55.0
82,Nique Clifford,0.5957234303483959,SAC,SG,1882.0,25.1,75.0
83,Jabari Smith Jr.,0.5962700697737696,HOU,PF,2705.0,35.1,77.0
84,Myles Turner,0.5981290183775978,MIL,C,1912.0,26.9,71.0
85,Moses Moody,0.5995614739199727,GSW,SG,1540.0,25.7,60.0
86,Tristan Da Silva,0.6042372681351681,ORL,SF,1899.0,24.7,77.0
87,Sam Hauser,0.6104118133210188,BOS,PF,1934.0,24.8,78.0
88,Reed Sheppard,0.6106453956408859,HOU,SG,2147.0,26.2,82.0
89,Cooper Flagg,0.6204281034963679,DAL,SF,2344.0,33.5,70.0
