Rank,Player,basic_v3,team,pos,minutes,minutes_per_game
299,Draymond Green,1.2621819048630862,GSW,PF,1869.0,27.5
300,Cade Cunningham,1.2626659268110905,DET,PG,2172.0,33.9
301,Maxime Raynaud,1.2785778142000557,SAC,C,1964.0,26.5
302,Deandre Ayton,1.2802651806069465,LAL,C,1958.0,27.2
303,Domantas Sabonis,1.2852323486979012,SAC,C,564.0,29.7
304,Daniel Gafford,1.2897372591178233,DAL,C,1195.0,21.7
305,Donovan Mitchell,1.2984135025629686,CLE,SG,2342.0,33.5
306,Ivica Zubac,1.305143880379541,2TM,C,1446.0,30.1
307,Neemias Queta,1.3115404109894757,BOS,C,1926.0,25.3
308,Luke Kornet,1.3153465101466302,SAS,C,1430.0,21.0
309,Ryan Kalkbrenner,1.3216479881631105,CHO,C,1479.0,21.4
310,Lauri Markkanen,1.3349928528687685,UTA,PF,1443.0,34.4
311,Nick Richards,1.3411677505098845,2TM,C,701.0,14.6
312,Dwight Powell,1.3475799103122768,DAL,C,904.0,14.3
313,Isaiah Collier,1.3528146497439715,UTA,PG,1517.0,25.7
314,Nicolas Batum,1.358216932870313,LAC,PF,1295.0,17.5
315,Zion Williamson,1.3617384855954873,NOP,PF,1841.0,29.7
316,Davion Mitchell,1.3634283581155606,MIA,PG,2000.0,28.6
317,Shai Gilgeous-Alexander,1.3635035688774313,OKC,PG,2259.0,33.2
318,Darius Garland,1.3887277561333238,2TM,PG,1344.0,29.9
319,Tyus Jones,1.3951438034102166,3TM,PG,979.0,14.6
320,Mark Williams,1.3962707732368729,PHO,C,1416.0,23.6
321,Jalen Brunson,1.3993431871900261,NYK,PG,2590.0,35.0
322,Day'Ron Sharpe,1.422931815616538,BRK,C,1160.0,18.7
323,Anthony Davis,1.4312339264402303,DAL,PF,626.0,31.3
324,LaMelo Ball,1.4497639346104394,CHO,PG,2017.0,28.0
325,Dylan Cardwell,1.4515050005692658,SAC,C,907.0,20.6
326,Jamal Shead,1.4577207880737144,TOR,PG,1852.0,22.6
327,Moussa Cisse,1.4604357453970727,DAL,C,530.0,13.9
328,Kawhi Leonard,1.4630299859398566,LAC,SF,2085.0,32.1
329,Russell Westbrook,1.4821833521600225,SAC,SF,1853.0,29.0
330,Jalen Duren,1.4953120091590373,DET,C,1976.0,28.2
331,Isaiah Hartenstein,1.5017469276380473,OKC,C,1137.0,24.2
332,Kevin Durant,1.509958980281604,HOU,SF,2840.0,36.4
333,Kel'el Ware,1.5301152434215481,MIA,C,1704.0,22.1
334,James Harden,1.5305603060881294,2TM,PG,2438.0,34.8
335,Brook Lopez,1.5602150211902286,LAC,C,1635.0,21.8
336,Kevin Love,1.5679686333269394,UTA,PF,613.0,16.6
337,Clint Capela,1.569115262152084,HOU,C,926.0,12.3
338,Karl-Anthony Towns,1.6071938716717904,NYK,C,2322.0,31.0
339,Ja Morant,1.6881059796966367,MEM,PG,569.0,28.5
340,Mike Conley,1.7148699381405406,MIN,PG,991.0,18.4
341,Rudy Gobert,1.717802234668175,MIN,C,2380.0,31.3
342,Mitchell Robinson,1.7451719502128071,NYK,C,1175.0,19.6
343,Joel Embiid,1.7540706019456984,PHI,C,1201.0,31.6
344,Ryan Nembhard,1.7696812411944864,DAL,PG,1171.0,19.5
345,Steven Adams,1.7736961527333865,HOU,C,730.0,22.8
346,T.J. McConnell,1.7861593335639043,IND,PG,963.0,17.2
347,Stephen Curry,1.8342611502034,GSW,PG,1329.0,30.9
348,LeBron James,1.851269370764717,LAL,SF,1989.0,33.2
349,Giannis Antetokounmpo,1.9375951448682591,MIL,PF,1039.0,28.9
350,Andre Drummond,2.0098871912795966,PHI,C,1231.0,19.5
351,Donovan Clingan,2.0419072767587965,POR,C,2094.0,27.2
352,Victor Wembanyama,2.070282088654201,SAS,C,1866.0,29.2
